trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0005, 'e': 0.988565872247913}",25,0,-95.6466600383383,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.0005, 'e': 0.9772624837732771}",20,0,-56.64302295941197,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.0005, 'e': 0.9660883396864917}",20,0,-64.09950897341984,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.0005, 'e': 0.9550419621907147}",30,0,-78.92628512279076,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.0005, 'e': 0.9441218903864222}",20,0,-98.69893259522819,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.0005, 'e': 0.9333266800782021}",20,0,-109.80991962506967,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.0005, 'e': 0.9226549035837567}",20,0,-125.16484568065984,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.0005, 'e': 0.9121051495450905}",30,0,-140.93313836025084,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.0005, 'e': 0.9016760227418555}",20,0,-106.78403848014182,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.0005, 'e': 0.8913661439068314}",20,0,-97.32529216724424,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.0005, 'e': 0.8811741495435156}",20,0,-69.85690436243901,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.0005, 'e': 0.8710986917457985}",35,4,-148.29541224427095,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 2}",1
13,False,"{'a': 0.0005, 'e': 0.8611384380197011}",30,0,-151.95595950297624,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.0005, 'e': 0.8512920711071512}",25,0,-97.37786543637355,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.0005, 'e': 0.8415582888117733}",20,10,15.353215080953865,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.0005, 'e': 0.8319358038266718}",20,6,-9.097943283921946,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
17,False,"{'a': 0.0005, 'e': 0.8224233435641825}",20,0,-53.18059302891179,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.0005, 'e': 0.813019649987571}",20,2,-95.58157967900698,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.0005, 'e': 0.8037234794446562}",35,22,2.1091330761487748,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.0005, 'e': 0.7945336025033342}",25,0,13.797202704820991,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
21,False,"{'a': 0.0005, 'e': 0.7854488037889852}",20,0,-1.5513935439635365,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.0005, 'e': 0.776467881823738}",20,0,-55.62891090249306,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.0005, 'e': 0.7675896488675731}",20,14,-4.924509000725701,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.0005, 'e': 0.7588129307612417}",20,0,-43.06142670409472,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.0005, 'e': 0.7501365667709822}",20,0,-39.30895681202038,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
26,False,"{'a': 0.0005, 'e': 0.7415594094350109}",20,13,13.025147025446874,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.0005, 'e': 0.7330803244117687}",25,7,-52.695394548886696,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
28,False,"{'a': 0.0005, 'e': 0.7246981903299032}",30,0,-116.88446448431702,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.0005, 'e': 0.7164118986399649}",20,0,-56.37386601543326,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.0005, 'e': 0.7082203534678003}",30,0,-25.96657029411423,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.0005, 'e': 0.7001224714696213}",25,0,-13.724508494309175,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.0005, 'e': 0.6921171816887307}",20,4,-53.64694210506489,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
33,False,"{'a': 0.0005, 'e': 0.6842034254138873}",25,0,-128.47016597836975,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
34,False,"{'a': 0.0005, 'e': 0.6763801560392895}",20,0,-35.008816158505155,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
35,False,"{'a': 0.0005, 'e': 0.6686463389261598}",20,0,-64.64127943487125,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
36,False,"{'a': 0.0005, 'e': 0.6610009512659129}",25,0,-86.12019189278551,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
37,False,"{'a': 0.0005, 'e': 0.6534429819448874}",20,9,-65.93434829437072,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
38,False,"{'a': 0.0005, 'e': 0.6459714314106249}",20,0,-55.74792754687693,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.0005, 'e': 0.6385853115396772}",20,0,-63.670644511595604,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
40,False,"{'a': 0.0005, 'e': 0.6312836455069263}",20,0,-108.02850133955108,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
41,False,"{'a': 0.0005, 'e': 0.6240654676563969}",30,9,-51.033289882315756,"{0: 16, 1: 1, 2: 1, 3: 3, 4: 0}",1
42,False,"{'a': 0.0005, 'e': 0.6169298233735477}",30,0,-29.76536288428386,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.0005, 'e': 0.6098757689590222}",25,0,8.77511046892852,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.0005, 'e': 0.6029023715038424}",30,0,-60.68547370616673,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 1}",0
45,False,"{'a': 0.0005, 'e': 0.5960087087660313}",20,0,-24.58484376143598,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.0005, 'e': 0.5891938690486441}",20,0,-50.44823215807932,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.0005, 'e': 0.5824569510791955}",30,0,-78.7410807601203,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
48,False,"{'a': 0.0005, 'e': 0.5757970638904649}",20,1,-59.84038351064317,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
49,False,"{'a': 0.0005, 'e': 0.5692133267026648}",25,0,-109.93524798845483,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
50,False,"{'a': 0.0005, 'e': 0.5627048688069561}",20,1,-63.44166858724249,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
51,False,"{'a': 0.0005, 'e': 0.556270829450296}",20,0,-0.8587448132570904,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.0005, 'e': 0.549910357721602}",20,11,-43.76531706691773,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
53,False,"{'a': 0.0005, 'e': 0.5436226124392174}",25,3,-81.44071087632088,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 2}",1
54,False,"{'a': 0.0005, 'e': 0.5374067620396641}",25,0,-57.970745653889864,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.0005, 'e': 0.5312619844676671}",25,0,-27.46405503316035,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
