trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-73.58171627870003,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-51.20628298981342,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-137.02292889723958,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-84.42365009856637,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-90.9036758058693,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-205.39407836852712,"{0: 18, 1: 5, 2: 8, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-142.77489342250834,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-63.902362616642336,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-160.33378447727014,"{0: 11, 1: 7, 2: 2, 3: 4, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-146.8005110778934,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-118.18057401631286,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,13,-23.68726269823072,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,3,-2.9464383385905277,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-85.44415416329925,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-33.36323280134255,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-112.1033249212987,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-152.59210269277017,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-107.91062262465536,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-208.24171862101747,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-192.46073288888894,"{0: 12, 1: 1, 2: 8, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-119.07756512449004,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-100.4521115057735,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-115.55410416018992,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-159.5760631552555,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-173.2748404547609,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
6,True,"{'a': 0, 'e': 0}",20,0,-49.103006694022646,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",30,0,-99.27516885349084,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",25,0,-11.730133236773023,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,0,-54.019789827603105,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-141.23636930004008,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
